ref_area,area_name,in_tiva_extract
A5_A7,South and Central America,False
AGO,Angola,False
APEC,APEC,False
ARE,United Arab Emirates,False
ARG,Argentina,False
ASEAN,ASEAN,False
AUS,Australia,False
AUT,Austria,False
BEL,Belgium,False
BGD,Bangladesh,False
BGR,Bulgaria,False
BLR,Belarus,False
BRA,Brazil,False
BRN,Brunei Darussalam,False
CAN,Canada,False
CHE,Switzerland,False
CHL,Chile,False
CHN,China (People’s Republic of),True
CIV,Côte d’Ivoire,False
CMR,Cameroon,False
COD,Democratic Republic of the Congo,False
COL,Colombia,False
CRI,Costa Rica,False
CYP,Cyprus,False
CZE,Czechia,False
DEU,Germany,False
DNK,Denmark,False
E,Europe,False
EA19,Euro area (19 countries),False
EGY,Egypt,False
ESP,Spain,False
EST,Estonia,False
EU15,European Union (15 countries),False
EU27_2020,European Union (27 countries from 01/02/2020),False
EU28,European Union (28 countries),False
EU28XEU15,European Union 28 excluding European Union 15 countries,False
F,Africa,False
FIN,Finland,False
FRA,France,False
G20,G20,False
GBR,United Kingdom,False
GRC,Greece,False
HKG,Hong Kong (China),False
HRV,Croatia,False
HUN,Hungary,False
IDN,Indonesia,True
IND,India,True
IRL,Ireland,False
ISL,Iceland,False
ISR,Israel,False
ITA,Italy,False
JOR,Jordan,False
JPN,Japan,True
KAZ,Kazakhstan,False
KHM,Cambodia,False
KOR,Korea,True
LAO,Lao People’s Democratic Republic,False
LTU,Lithuania,False
LUX,Luxembourg,False
LVA,Latvia,False
MAR,Morocco,False
MEX,Mexico,False
MLT,Malta,False
MMR,Myanmar,False
MYS,Malaysia,True
NAFTA,NAFTA,False
NGA,Nigeria,False
NLD,Netherlands,False
NOR,Norway,False
NZL,New Zealand,False
OECD,OECD,False
PAK,Pakistan,False
PER,Peru,False
PHL,Philippines,True
POL,Poland,False
PRT,Portugal,False
ROU,Romania,False
RUS,Russia,False
S2,Eastern Asia,False
S2_S8,Eastern and South-eastern Asia,False
SAU,Saudi Arabia,False
SEN,Senegal,False
SGP,Singapore,True
STP,Sao Tome and Principe,False
SVK,Slovak Republic,False
SVN,Slovenia,False
SWE,Sweden,False
THA,Thailand,True
TUN,Tunisia,False
TUR,Türkiye,False
TWN,Chinese Taipei,False
UKR,Ukraine,False
USA,United States,False
VNM,Viet Nam,True
W,World,False
WXD,Rest of the world,False
WXOECD,Non-OECD economies,False
W_O,Other countries,False
ZAF,South Africa,False
