iso3,country,year,acled_event_count,treatment_event
EGY,Egypt,2018,497,497.0
EGY,Egypt,2019,705,705.0
EGY,Egypt,2020,644,644.0
EGY,Egypt,2021,313,313.0
EGY,Egypt,2022,248,248.0
EGY,Egypt,2023,207,207.0
EGY,Egypt,2024,129,129.0
EGY,Egypt,2025,25,25.0
IRQ,Iraq,2018,3678,3678.0
IRQ,Iraq,2019,3712,3712.0
IRQ,Iraq,2020,6307,6307.0
IRQ,Iraq,2021,7613,7613.0
IRQ,Iraq,2022,7747,7747.0
IRQ,Iraq,2023,6531,6531.0
IRQ,Iraq,2024,9622,9622.0
IRQ,Iraq,2025,924,924.0
JOR,Jordan,2018,795,795.0
JOR,Jordan,2019,841,841.0
JOR,Jordan,2020,381,381.0
JOR,Jordan,2021,404,404.0
JOR,Jordan,2022,461,461.0
JOR,Jordan,2023,455,455.0
JOR,Jordan,2024,332,332.0
JOR,Jordan,2025,29,29.0
LBN,Lebanon,2018,577,577.0
LBN,Lebanon,2019,3598,3598.0
LBN,Lebanon,2020,2992,2992.0
LBN,Lebanon,2021,3214,3214.0
LBN,Lebanon,2022,1303,1303.0
LBN,Lebanon,2023,3191,3191.0
LBN,Lebanon,2024,14593,14593.0
LBN,Lebanon,2025,850,850.0
LBY,Libya,2018,797,797.0
LBY,Libya,2019,1472,1472.0
LBY,Libya,2020,1414,1414.0
LBY,Libya,2021,264,264.0
LBY,Libya,2022,260,260.0
LBY,Libya,2023,201,201.0
LBY,Libya,2024,567,567.0
LBY,Libya,2025,115,115.0
MAR,Morocco,2018,238,238.0
MAR,Morocco,2019,877,877.0
MAR,Morocco,2020,1385,1385.0
MAR,Morocco,2021,1641,1641.0
MAR,Morocco,2022,1455,1455.0
MAR,Morocco,2023,2214,2214.0
MAR,Morocco,2024,3725,3725.0
MAR,Morocco,2025,402,402.0
SAU,Saudi Arabia,2018,862,862.0
SAU,Saudi Arabia,2019,298,298.0
SAU,Saudi Arabia,2020,121,121.0
SAU,Saudi Arabia,2021,241,241.0
SAU,Saudi Arabia,2022,63,63.0
SAU,Saudi Arabia,2023,24,24.0
SAU,Saudi Arabia,2024,5,5.0
SAU,Saudi Arabia,2025,1,1.0
SYR,Syria,2018,20866,20866.0
SYR,Syria,2019,20062,20062.0
SYR,Syria,2020,12454,12454.0
SYR,Syria,2021,10830,10830.0
SYR,Syria,2022,12421,12421.0
SYR,Syria,2023,12827,12827.0
SYR,Syria,2024,15882,15882.0
SYR,Syria,2025,2231,2231.0
TUN,Tunisia,2018,714,714.0
TUN,Tunisia,2019,1461,1461.0
TUN,Tunisia,2020,1774,1774.0
TUN,Tunisia,2021,1352,1352.0
TUN,Tunisia,2022,860,860.0
TUN,Tunisia,2023,774,774.0
TUN,Tunisia,2024,585,585.0
TUN,Tunisia,2025,73,73.0
YEM,Yemen,2018,11481,11481.0
YEM,Yemen,2019,11851,11851.0
YEM,Yemen,2020,11911,11911.0
YEM,Yemen,2021,8849,8849.0
YEM,Yemen,2022,8098,8098.0
YEM,Yemen,2023,7672,7672.0
YEM,Yemen,2024,12833,12833.0
YEM,Yemen,2025,2011,2011.0
