region,year,gdp_growth,log_gdp_pc,border_quality_index,quality_x_log_gdp
ABW,2024,6.81077669324542,10.415529959494902,0.3285883293323389,7.063850100320586e-16
ARG,2024,-1.34293072157739,9.455194584790856,0.3684210526315787,0.023108882493013
ATG,2024,3.65638765956977,9.817394937190569,0.4210526315789473,0.2552976964230385
BHS,2024,3.37866553336166,10.433180166579165,0.3157894736842106,-0.0827935769993003
BLZ,2024,3.50466435023895,8.746794716182972,0.3285883293323389,-4.091495975260656e-16
BMU,2024,5.97253260071749,11.71273982322666,0.3285883293323389,1.5735582192384005e-15
BOL,2024,-1.12335595517212,8.021458053370118,0.1578947368421052,1.3745464200704187
BRA,2024,3.41931516597739,9.166048205689751,0.5789473684210527,-0.2906341255651006
BRB,2024,2.4822621396186,9.97957863785945,0.3285883293323389,4.1495544477049263e-16
CAN,2024,1.55479521049516,10.70129646832037,1.0,5.42716626969357
CHL,2024,2.64431154871538,9.587364859800584,0.4736842105263157,0.1996484673941838
COL,2024,1.5983315366523,8.833986728002298,0.4210526315789473,-0.2922138798578013
CRI,2024,4.32122429646145,9.606871178983896,0.4210526315789473,0.1380887961684396
CUB,2024,-1.06173273220524,8.906718295391586,0.0526315789473683,0.7512522212931386
CUW,2024,5.02690000000014,9.800611458510216,0.3285883293323389,2.953174836371856e-16
DMA,2024,2.052738472526,9.1239881045895,0.3285883293323389,-1.569991858918683e-16
DOM,2024,4.95352204492849,9.123523978409294,0.263157894736842,0.0927095318474111
ECU,2024,-2.00125476341026,8.699413728218833,0.4105263157894736,-0.3253416484574261
GRD,2024,3.96332516398188,9.229751254633136,0.2105263157894736,0.0917694211762525
GTM,2024,3.65186382894819,8.425756599011839,0.263157894736842,0.3676102328411062
GUY,2024,43.8193108024355,10.4053216021545,0.1578947368421052,-1.0755546040059498
HND,2024,3.55397003296669,7.852972224689558,0.4210526315789473,-0.8383927626906716
HTI,2024,-4.16963395808132,7.051745668078939,0.0,4.564609738504743
JAM,2024,-0.535039063867487,8.715459076326468,0.2105263157894736,0.4573688303155335
KNA,2024,0.312226855858171,9.984709901357247,0.3285883293323389,4.1838564859415676e-16
LCA,2024,3.89175024218898,9.380500926228349,0.3285883293323389,1.4477344592740805e-17
MEX,2024,1.42742769080466,9.241496072304914,0.0,0.2321740021224732
NIC,2024,3.5878302292345,7.736513025151374,0.2105263157894736,1.1532808293415666
PAN,2024,2.74788545546916,9.748161553866934,0.5263157894736842,0.4635068515176876
PER,2024,3.30394098171516,8.811532162380013,0.4736842105263157,-0.4781624245634154
PRI,2024,3.17707554784896,10.340815023025526,0.3285883293323389,6.564387422420417e-16
PRY,2024,4.24996010464072,8.800993464343195,0.3157894736842106,0.0429906995262387
SLV,2024,2.60202016121069,8.430594674114415,0.3157894736842106,0.0715354387959784
SUR,2024,1.72095737011739,8.888240432455637,0.3285883293323389,-3.145943993750125e-16
SXM,2024,3.00000000000014,10.458526623165566,0.3285883293323389,7.351278957153309e-16
TCA,2024,5.63682517443362,10.9539471541314,0.3285883293323389,1.0663120963260582e-15
TTO,2024,2.50920813979569,9.699686041800812,0.2105263157894736,-0.2422972587568965
URY,2024,3.10825478066172,9.85001310903206,0.4736842105263157,0.4291126865158783
USA,2024,2.79300127716779,11.102792037320048,0.4215258528844358,0.9759104599148396
VCT,2024,4.06183490050209,9.15748667258097,0.3285883293323389,-1.3460569234764578e-16
VEN,2024,5.29999999999984,7.313902004402332,0.1052631578947367,2.7498188652650417
